Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Alnus rhombifolia,11.9917,11,14.07,28.476,8.19983,551.75,38.5,True,,,1117,1806
Alnus rubra,11.9917,11,10.5725,23.0905,4.7205,988.25,99.75,True,,,1976,1052
Alnus viridis,11.9917,6,5.15486,21.175,-1.50417,980.75,174.5,False,56,,8613,
Aloiampelos striatula,11.9917,9,13.6319,26.6,7.11667,655.5,91.5,False,17,,65,
Alstroemeria hookeri,11.9917,6,13.082,23.5,7.69167,596.0,75.5,False,14,,155,
Alstroemeria ligtu,11.9917,9,13.0639,25.2,7.43333,622.75,76.25,False,23,,721,
Alstroemeria revoluta,11.9917,11,12.1771,24.225,6.85417,789.75,76.0,False,7,,77,
Althaea cannabina,11.9917,11,12.0889,26.025,4.775,721.0,131.5,False,59,,6102,
Althaea officinalis,11.9917,11,10.5785,24.65,3.54583,751.0,134.0,False,155,,8438,
Alyssoides utriculata,11.9917,9,9.55001,24.75,1.74167,874.0,173.5,False,55,,1171,
Alyssum handelii,11.9917,8,4.64722,20.425,-1.2375,733.0,128.5,False,4,,5,
Alyssum lenense,11.9917,6,3.63611,24.95,-6.75833,533.5,87.0,False,14,,1024,
Alyssum montanum,11.9917,9,9.59444,24.2,1.80833,737.0,135.0,False,57,,2840,
Alyssum wulfenianum,11.9917,6,4.31389,18.95,-2.04583,1301.25,236.75,False,38,,72,
Amana edulis,11.9917,11,12.0722,25.8,3.11667,1097.5,141.5,False,7,,626,
Amaryllis belladonna,11.9917,9,14.5202,25.175,8.48333,769.0,89.75,False,106,,4999,
Amauropelta noveboracensis,11.9917,11,10.3958,28.6,-0.154167,1133.75,243.5,False,35,,9779,
Amelanchier alnifolia,11.9917,8,8.05883,24.7115,-1.06217,719.25,98.25,True,,,6142,1529
Amelanchier canadensis,11.9917,11,10.1241,27.9788,-0.712899,1081.38,222.25,True,,,516,441
Amelanchier cusickii,11.9917,6,7.58177,25.6333,-1.47222,623.333,94.3333,True,,,54,2450
Amelanchier humilis,11.9917,3,6.46667,22.9,-3.675,730.0,120.5,False,21,,8617,
Amelanchier laevis,11.9917,9,7.90142,26.932,-2.18092,986.0,185.75,True,,,1327,509
Amelanchier ovalis,11.9917,11,10.3715,24.7,2.75833,801.5,147.25,False,102,,8812,
Amelanchier sanguinea,11.9917,6,9.57834,25.708,-1.05367,886.0,162.0,True,47,3,,
Amentotaxus hatuyenensis,11.9917,6,16.0514,31.2,7.05,1248.0,268.0,True,4,,1,
Ammi majus,11.9917,11,10.5292,24.7,3.68334,757.0,139.5,False,65,,6276,
Amorpha californica,11.9917,11,12.757,27.15,5.50417,609.75,62.5,False,27,,986,
Amorpha nana,11.9917,6,7.53472,27.15,-4.37917,639.5,96.0,False,44,,415,
Ampelodesmos mauritanicus,11.9917,9,14.3049,27.025,7.14167,702.5,101.0,False,26,,1851,
Amsonia hubrichtii,11.9917,9,13.9236,31.0,2.89167,1175.0,232.0,False,85,,156,
Amsonia tabernaemontana,11.9917,9,13.034,29.45,2.79583,1021.5,203.5,False,144,,2676,
Anaphalis sinica,11.9917,11,12.409,27.475,1.9375,1128.0,102.75,False,11,,651,
Anchistea virginica,11.9917,11,15.3007,30.325,2.975,1188.75,225.0,False,2,,3811,
Anchusa azurea,11.9917,11,12.4736,26.825,4.95,687.25,108.25,False,57,,5941,
Anchusa leptophylla,11.9917,8,10.0903,26.275,-0.5125,686.0,139.25,False,2,,123,
Anchusa officinalis,11.9917,6,9.08333,22.9,1.58333,696.5,127.0,False,92,,7585,
Andromeda polifolia,11.9917,6,9.41458,23.3,1.74167,791.0,154.0,False,81,,,
Andropogon gerardi,11.9917,11,10.7208,28.7,1.075,865.0,152.0,False,7,,9321,
Androsace lanuginosa,11.9917,11,11.8632,24.375,4.75833,1153.25,132.75,False,23,,23,
Androsace sarmentosa,11.9917,8,7.47361,20.525,0.566667,835.0,112.0,False,48,,68,
Androsace sempervivoides,11.9917,8,5.50139,21.2,-2.7875,738.25,112.75,False,55,,29,
