Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Buxus sinica,9.98333,6,15.6391,29.7575,5.3685,1248.12,137.25,True,29,48,38,248
Camellia brevistyla,9.98333,6,18.6728,28.9856,11.6903,2202.0,198.0,True,26,,233,828
Camellia forrestii,9.98333,6,16.1948,25.1667,10.1556,983.333,92.3333,True,18,,27,91
Camellia reticulata,9.98333,6,15.6062,25.784,8.96317,967.0,81.0,True,43,9,143,341
Camellia yunnanensis,9.98333,6,15.4167,26.1,9.79999,968.667,79.3333,True,22,,31,91
Caryota urens,9.98333,6,21.681,30.5395,17.3097,1816.5,81.625,True,75,15,28,18
Castanopsis sclerophylla,9.98333,6,16.769,32.207,6.14425,1381.38,170.5,True,13,9,145,252
Ceanothus spinosus,9.98333,6,16.6643,28.9316,12.4458,437.375,6.25,True,2,1,529,668
Chionanthus pygmaeus,9.98333,6,20.6687,32.8667,13.0167,1214.67,178.0,True,24,,11,15
Cinnamomum parthenoxylon,9.98333,6,22.367,30.1527,17.1551,1846.67,211.5,True,12,,244,59
Cinnamomum septentrionale,9.98333,6,16.8587,30.721,7.35558,1077.12,51.5,True,6,5,7,22
Elaeagnus pungens,9.98333,6,15.5295,30.563,5.4825,1235.62,167.75,True,8,13,137,468
